history_day_index,mean_attention,normalized_attention
0,0.007690466164309129,0.09997605676299284
1,0.00768949105002771,0.09996338027776208
2,0.007689615532364306,0.09996499854808323
3,0.007690083249068094,0.09997107886502733
4,0.007691690755030379,0.099991976441832
5,0.007692404248522706,0.10000125185691931
6,0.007694423640164187,0.10002750394737286
7,0.007694381121586835,0.10002695120588594
8,0.00769479775051532,0.1000323673817735
9,0.007695726006744902,0.10004443471235094
