test_month,temporal_attention_entropy,temporal_attention_concentration,temporal_mask_rate,cross_stock_attention_entropy,cross_stock_attention_concentration,cross_stock_mask_rate,universe_size
2025-06,4.867285943031311,0.008186975261196446,0.0,5.536773538589477,0.004984094342216795,0.0,255.25
2025-07,4.847652998837558,0.008578877303410608,0.020495013757185477,5.56793195551092,0.004220449535006777,0.0,262.45454545454544
2025-08,4.8674686295645575,0.008029513726276957,6.107999000786666e-05,5.413352262406122,0.00639243364068009,0.0,230.33333333333334
2025-09,4.867528143383208,0.00781560203592687,0.0,5.3443611689976285,0.0058905110206632005,0.0,211.38095238095238
2025-10,4.8674290076546045,0.008083823379938964,0.0,5.501305352086606,0.004836545690246204,0.0,245.82608695652175
2025-11,4.867417912734182,0.008108828363842047,4.463281814088296e-05,5.678233573311253,0.0038480255262631526,0.0,294.94736842105266
2025-12,4.839377576654607,0.008425468282604718,0.02885935845022848,5.5220653143796055,0.004708853931250845,0.0,257.3636363636364
2026-01,4.853516292572022,0.00809397269040341,0.013809511065483077,5.528332781791687,0.0045855343807488,0.0,256.35
2026-02,4.867411764044511,0.008264877392273148,4.217274085692081e-06,5.809545341290925,0.0035907119193947104,0.0,335.8421052631579
2026-03,4.867533727125688,0.0077117559796368,0.0,5.8254969553513964,0.003415127231908741,0.0,339.6363636363636
2026-04,4.867506186167399,0.007943123889466091,0.0,5.718528951917376,0.00446101211543589,0.0,309.0952380952381
