universe_size_group,months,mean_universe_size,mean_IC,mean_RankIC,mean_topk_excess
"(211.38, 250.538]",3,229.18012422360252,0.022063336260157926,0.023143551038807438,0.0005875257655678845
"(250.538, 257.364]",3,256.3212121212121,-0.006912225046064962,-0.0032904388063834805,0.0002693265249642202
"(257.364, 302.021]",2,278.70095693779905,-0.02057195462788199,-0.0177316536907489,-0.001562995849820308
"(302.021, 339.636]",3,328.1912356649199,-0.011072353841630416,-0.0062426068039626885,2.3116477819570054e-05
