minute_start_in_day,mean_attention,normalized_attention
0,0.007833077107460572,0.07833076843185591
30,0.007772010456312052,0.07772010194097358
60,0.007745698892214522,0.07745698630887536
90,0.007734399022971601,0.07734398762025854
120,0.007728625212600747,0.077286249518498
150,0.0077264402554088705,0.07726439994731639
180,0.007719427399837511,0.07719427139396882
210,0.0076238331704126345,0.07623832913197195
240,0.0076246849100769,0.07624684652832725
270,0.0076163252457271445,0.07616324988765011
300,0.007621533871558948,0.07621533614421083
330,0.007624521927127578,0.07624521669888902
360,0.007629425902124554,0.07629425644720426
