market,generator,candidate_pool,G,agg,agg_label,n_seeds,total_mean,total_std,sharpe_mean,sharpe_std,turnover_mean,source_dir
CSI500,Diffusion,Meta,8,pred_utility,Pred-Utility,20,0.4038596003408701,0.2325432425382696,0.9343545955217584,0.5561590767224225,0.7952768956783716,results/CSI500/strict_fixed_oos_diff_stability_meta_seeds/
CSI500,Diffusion,Meta,8,mean,Mean,20,0.5084735114927847,0.0602099797117762,2.2591907027025746,0.2641738337741047,0.5109963222328368,results/CSI500/strict_fixed_oos_diff_stability_meta_seeds/
CSI500,Diffusion,Meta,8,topk,Top-k,20,0.3825644438811313,0.1109522824997229,1.2863789699549657,0.3769182795372101,0.6609287837244991,results/CSI500/strict_fixed_oos_diff_stability_meta_seeds/
CSI500,Diffusion,Meta,8,softmax,Softmax,20,0.5085720653230485,0.0601517659370258,2.2587142088504235,0.2639554635723853,0.5109634894994151,results/CSI500/strict_fixed_oos_diff_stability_meta_seeds/
CSI500,Diffusion,Meta,32,pred_utility,Pred-Utility,20,0.7319229352936862,0.2903467140185496,1.4625777845752557,0.5755089646480671,0.6422616915901254,results/CSI500/strict_fixed_oos_diff_stability_meta_seeds/
CSI500,Diffusion,Meta,32,mean,Mean,20,0.5300258710920743,0.0344647617340566,2.392236581621826,0.1435038861625977,0.3158063689287736,results/CSI500/strict_fixed_oos_diff_stability_meta_seeds/
CSI500,Diffusion,Meta,32,topk,Top-k,20,0.6201796570929459,0.1842495369244991,1.6900062936248303,0.503165151951112,0.5899410311836746,results/CSI500/strict_fixed_oos_diff_stability_meta_seeds/
CSI500,Diffusion,Meta,32,softmax,Softmax,20,0.5302048695462773,0.0345004789142797,2.3921458545921226,0.1437190934771977,0.3157670168748662,results/CSI500/strict_fixed_oos_diff_stability_meta_seeds/
CSI500,Diffusion,Meta,64,pred_utility,Pred-Utility,20,0.7498721382191168,0.2797723017593557,1.391726281787098,0.5129751144711288,0.518117424439519,results/CSI500/strict_fixed_oos_diff_stability_meta_seeds/
CSI500,Diffusion,Meta,64,mean,Mean,20,0.5408707533992821,0.0278484601601782,2.4479045865012354,0.1204127435584657,0.2400314247549914,results/CSI500/strict_fixed_oos_diff_stability_meta_seeds/
CSI500,Diffusion,Meta,64,topk,Top-k,20,0.753415956861647,0.1204706105994637,1.7774061284188094,0.3111028000527133,0.5180796457755242,results/CSI500/strict_fixed_oos_diff_stability_meta_seeds/
