epoch,train_loss,train_ic,train_rank_ic,val_loss,val_ic,val_rank_ic,lr
1,0.747782151095378,0.8294525700143706,0.8291127864937059,0.6741081609654782,0.9871817275659361,0.9923369679878007,0.0003972722606805445
2,0.6792036570035495,0.974246696401865,0.9745354276054945,0.6674593606991555,0.9931159241875606,0.9961822611182484,0.0003758947502412978
3,0.6733954823934115,0.9826146515134053,0.9828534177862681,0.6644221739982491,0.9956552279529287,0.9974436608713064,0.00033545631432514825
4,0.6709756971551821,0.9860488363565543,0.9863094750505227,0.6635622604569392,0.9967099561620114,0.9980735974525338,0.0002803390849305939
5,0.6695732466685467,0.9879809545400815,0.9882254386559511,0.6631969640504068,0.9969453295665001,0.9984332331970557,0.0002165158690944665
6,0.6687510699415818,0.9890998202638749,0.989346546240342,0.6628192716570043,0.9975934268823311,0.9986134429476154,0.0001509029025718402
7,0.6682124966994311,0.9898286692989178,0.9900494246528699,0.6626834042036711,0.9975292086601257,0.9987085790776494,9.061036837551466e-05
8,0.667928750316302,0.9902108174103957,0.9904419707182126,0.6624775297606169,0.9978694995837425,0.9988135143892088,4.217189812072131e-05
9,0.6677561564705311,0.9904464244460448,0.9906711563085898,0.6624082816180898,0.9978814000514016,0.998829589850867,1.0836551659873074e-05
10,0.6677192067488645,0.9904844054044821,0.9907079633229818,0.6624183752643529,0.9978917516879181,0.9988234754818589,0.0
